Chrono;Time;MIDS Status;DLIP Saturation;TDH029;retard (ms)
71.2594;00:01:11.259;;;;858
71.2727;00:01:11.272;;;;871
71.2732;00:01:11.273;;;;872
71.2790;00:01:11.279;;;;878
71.2795;00:01:11.279;;;;878
71.2928;00:01:11.292;;;;891
71.2934;00:01:11.293;;;;892
71.2989;00:01:11.298;;;;898
71.2994;00:01:11.299;;;;898
71.3128;00:01:11.312;;;;911
71.3131;00:01:11.313;;;;911
71.3189;00:01:11.318;;;;917
71.3192;00:01:11.319;;;;917
71.3327;00:01:11.332;;;;931
71.3331;00:01:11.333;;;;931
71.3389;00:01:11.338;;;;937
71.3394;00:01:11.339;;;;937
71.3530;00:01:11.353;;;;951
71.3535;00:01:11.353;;;;951
71.3592;00:01:11.359;;;;957
71.3597;00:01:11.359;;;;957
71.3731;00:01:11.373;;;;970
71.3736;00:01:11.373;;;;971
71.3792;00:01:11.379;;;;977
71.3796;00:01:11.379;;;;977
71.3932;00:01:11.393;;;;990
71.3937;00:01:11.393;;;;991
71.3993;00:01:11.399;;;;996
71.3997;00:01:11.399;;;;997
71.4131;00:01:11.413;;;;1010
71.4135;00:01:11.413;;;;1010
71.4193;00:01:11.419;;;;1016
71.4197;00:01:11.419;;;;1016
71.4332;00:01:11.433;;;;1030
71.4336;00:01:11.433;;;;1030
71.4394;00:01:11.439;;;;1036
71.4397;00:01:11.439;;;;1036
71.4531;00:01:11.453;;;;1049
71.4533;00:01:11.453;;;;870
71.4592;00:01:11.459;;;;1055
71.4594;00:01:11.459;;;;876
71.4733;00:01:11.473;;;;890
71.4735;00:01:11.473;;;;890
71.4793;00:01:11.479;;;;896
71.4795;00:01:11.479;;;;896
71.4933;00:01:11.493;;;;909
71.4935;00:01:11.493;;;;909
71.4992;00:01:11.499;;;;915
71.4995;00:01:11.499;;;;915
71.5133;00:01:11.513;;;;928
71.5135;00:01:11.513;;;;928
71.5193;00:01:11.519;;;;935
71.5196;00:01:11.519;;;;935
71.5333;00:01:11.533;;;;948
71.5335;00:01:11.533;;;;948
71.5394;00:01:11.539;;;;954
71.5396;00:01:11.539;;;;954
71.5534;00:01:11.553;;;;967
71.5536;00:01:11.553;;;;967
71.5595;00:01:11.559;;;;974
71.5597;00:01:11.559;;;;973
71.5736;00:01:11.573;;;;987
71.5739;00:01:11.573;;;;987
71.5797;00:01:11.579;;;;993
