write_delta_time;write_delta_data;write_debit
0;0;0
0.474500000000003;30;126.448893572181
0.00379999999999825;53;27894.7368421181
0.0536999999999992;53;1973.9292364991
0.00390000000000157;24;12307.6923076874
0.00189999999999912;24;25263.1578947485
0.247;37;299.595141700405
0.00680000000000192;18;5294.11764705733
0.00629999999999953;20;6349.20634920682
0.00259999999999749;18;13846.1538461672
0.00290000000000035;18;12413.7931034468
0.00900000000000034;18;3999.99999999985
0.00260000000000105;18;13846.1538461483
0.00240000000000151;18;14999.9999999906
0.00229999999999819;47;40869.5652174234
0.00240000000000151;47;39166.666666642
0.00219999999999843;47;42727.2727273033
0.00189999999999912;18;18947.3684210614
0.00200000000000244;18;17999.999999978
0.00199999999999889;18;18000.00000001
0.00199999999999889;18;18000.00000001
0.00760000000000005;47;12368.4210526315
0.00220000000000198;47;42727.2727272343
0.00199999999999889;47;47000.000000026
0.00260000000000105;47;36153.8461538316
0.040499999999998;18;888.888888888933
0.00230000000000175;18;15652.1739130316
0.00219999999999843;18;16363.6363636481
0.00810000000000244;18;4444.44444444311
0.00229999999999819;47;40869.5652174234
0.00199999999999889;47;47000.000000026
0.00190000000000268;47;49473.6842104566
0.00199999999999889;47;47000.000000026
0.00209999999999866;18;17142.8571428681
0.00200000000000244;18;17999.999999978
0.00189999999999912;18;18947.3684210614
0.00189999999999912;18;18947.3684210614
0.00199999999999889;47;47000.000000026
0.00240000000000151;47;39166.666666642
0.00199999999999889;47;47000.000000026
0.00730000000000075;47;12876.7123287658
0.00209999999999866;18;17142.8571428681
0.00200000000000244;18;17999.999999978
0.00189999999999912;18;18947.3684210614
0.00199999999999889;18;18000.00000001
0.00490000000000279;47;19183.6734693768
0.00199999999999889;47;47000.000000026
0.00199999999999889;47;47000.000000026
0.00189999999999912;47;49473.6842105491
0.00220000000000198;18;16363.6363636217
0.00189999999999912;18;18947.3684210614
0.00760000000000005;18;4736.84210526313
0.00370000000000204;18;9729.72972972438
0.00299999999999656;47;31333.3333333693
0.00200000000000244;47;46999.9999999426
0.00199999999999889;47;47000.000000026
0.0038000000000018;47;24736.8421052514
0.00349999999999895;18;10285.7142857174
0.0044000000000004;18;8181.81818181743
0.00809999999999889;18;4444.44444444506
0.00209999999999866;18;17142.8571428681
0.00190000000000268;20;21052.6315789177
0.00199999999999889;47;47000.000000026
0.00220000000000198;47;42727.2727272343
0.00219999999999843;47;42727.2727273033
0.00189999999999912;47;49473.6842105491
0.00199999999999889;20;20000.0000000111
0.00200000000000244;18;17999.999999978
0.00199999999999889;18;18000.00000001
0.00479999999999947;18;7500.00000000083
0.00830000000000197;18;4337.34939758933
0.00199999999999889;23;23000.0000000127
0.00199999999999889;47;47000.000000026
0.00190000000000268;47;49473.6842104566
0.00219999999999843;47;42727.2727273033
0.00219999999999843;47;42727.2727273033
0.00200000000000244;23;22999.9999999719
0.00199999999999889;18;18000.00000001
0.00189999999999912;18;18947.3684210614
0.00220000000000198;18;16363.6363636217
0.00199999999999889;18;18000.00000001
0.0103000000000009;47;9126.21359223225
0.00209999999999866;47;44761.9047619334
0.00200000000000244;47;46999.9999999426
0.00219999999999843;47;42727.2727273033
0.00209999999999866;18;17142.8571428681
0.00200000000000244;18;17999.999999978
0.00189999999999912;18;18947.3684210614
0.00199999999999889;18;18000.00000001
0.00820000000000221;47;11463.4146341433
0.0069999999999979;47;13428.5714285755
0.00370000000000204;47;25405.4054053914
0.00189999999999912;47;49473.6842105491
0.00459999999999994;18;7826.08695652185
0.00199999999999889;18;18000.00000001
0.00189999999999912;18;18947.3684210614
0.00200000000000244;18;17999.999999978
0.00679999999999836;47;13823.529411768
0.000800000000001688;47;117499.999999752
0.00619999999999976;47;15161.2903225812
0.00209999999999866;47;44761.9047619334
0.00189999999999912;18;18947.3684210614
0.00200000000000244;18;17999.999999978
0.0046999999999997;18;7659.57446808559
0.00199999999999889;18;18000.00000001
0.0103000000000009;47;9126.21359223225
0.000900000000001455;47;104444.444444276
0.00659999999999883;47;14242.4242424268
0.00189999999999912;47;49473.6842105491
0.00199999999999889;18;18000.00000001
